                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.84055,                0.76737,                  1.207,                 0.4831,                0.38214,                 0.4004,                0.24966,                 1.3809,                 2.0537,                 1.5493,             0.00012019,             0.00012019,             0.00012019
                     77,                0.82397,                0.74798,                 1.1956,                0.47876,                0.43969,                0.43108,                0.27143,                 1.3824,                 1.7748,                 1.5447,             0.00011862,             0.00011862,             0.00011862
                     78,                0.83236,                0.74576,                 1.1988,                0.43429,                0.43205,                0.40493,                0.27131,                 1.2915,                 1.8435,                 1.4825,             0.00011705,             0.00011705,             0.00011705
                     79,                0.82807,                0.75063,                 1.2018,                0.54816,                0.39713,                0.42692,                 0.2704,                 1.3864,                 1.8296,                 1.5471,             0.00011548,             0.00011548,             0.00011548
                     80,                0.82669,                0.74547,                 1.1915,                0.48201,                0.38773,                0.41738,                0.26656,                  1.381,                 1.8585,                 1.5414,             0.00011391,             0.00011391,             0.00011391
                     81,                0.81238,                0.72835,                 1.1943,                0.45259,                0.44361,                0.42748,                0.26466,                  1.406,                  1.754,                 1.5808,             0.00011234,             0.00011234,             0.00011234
                     82,                0.81737,                0.73525,                 1.1892,                0.43807,                0.41552,                0.41549,                0.27129,                   1.36,                 1.9623,                 1.5311,             0.00011077,             0.00011077,             0.00011077
                     83,                0.81298,                0.73887,                  1.201,                 0.4975,                0.38144,                0.40773,                0.26042,                 1.4016,                 1.8704,                 1.5579,             0.00010919,             0.00010919,             0.00010919
                     84,                0.81158,                0.72895,                 1.1925,                0.48847,                0.39068,                0.40843,                0.25678,                  1.409,                 1.8668,                 1.5621,             0.00010762,             0.00010762,             0.00010762
                     85,                0.81146,                0.70797,                 1.1883,                0.47013,                0.41016,                0.42438,                0.27036,                 1.3708,                 1.8258,                 1.5402,             0.00010605,             0.00010605,             0.00010605
                     86,                0.80076,                0.71521,                 1.1848,                0.48819,                0.39599,                0.40584,                0.25646,                 1.4014,                 1.9376,                 1.5687,             0.00010448,             0.00010448,             0.00010448
                     87,                0.79461,                0.70767,                 1.1805,                 0.5208,                0.39792,                0.42455,                0.27641,                 1.3257,                 1.8342,                 1.4945,             0.00010291,             0.00010291,             0.00010291
                     88,                0.81279,                 0.7194,                 1.1834,                0.42911,                0.42006,                 0.4125,                0.26738,                 1.3275,                 1.8535,                 1.5121,             0.00010134,             0.00010134,             0.00010134
                     89,                0.79728,                0.70653,                 1.1768,                0.48237,                0.38836,                0.41472,                0.26965,                 1.3243,                 1.8631,                 1.5159,              9.977e-05,              9.977e-05,              9.977e-05
                     90,                0.80652,                0.71793,                 1.1872,                0.48078,                 0.4192,                0.41585,                0.26549,                 1.3798,                 1.7838,                 1.5483,             9.8199e-05,             9.8199e-05,             9.8199e-05
                     91,                0.81131,                 0.7145,                 1.1872,                0.49182,                0.41471,                0.41962,                0.26486,                 1.3885,                 1.8374,                 1.5628,             9.6628e-05,             9.6628e-05,             9.6628e-05
                     92,                0.78386,                0.69398,                 1.1758,                0.46535,                0.43137,                0.42502,                0.26793,                 1.3883,                 1.8167,                   1.57,             9.5057e-05,             9.5057e-05,             9.5057e-05
                     93,                 0.7875,                0.69526,                 1.1761,                0.46359,                0.39568,                0.42057,                0.25963,                 1.4091,                 1.8391,                 1.5813,             9.3486e-05,             9.3486e-05,             9.3486e-05
                     94,                0.78853,                0.68847,                 1.1714,                0.50245,                0.39475,                0.41464,                0.26737,                 1.3454,                 1.8691,                 1.5169,             9.1916e-05,             9.1916e-05,             9.1916e-05
                     95,                0.79165,                0.69271,                 1.1766,                0.44856,                0.41313,                0.41359,                0.26119,                 1.3756,                 1.8082,                 1.5243,             9.0345e-05,             9.0345e-05,             9.0345e-05
                     96,                0.78501,                0.68278,                 1.1739,                0.41296,                0.43049,                0.42402,                0.27005,                 1.3248,                 1.8316,                 1.4939,             8.8774e-05,             8.8774e-05,             8.8774e-05
                     97,                0.77964,                0.68153,                 1.1623,                0.46323,                0.41103,                0.41406,                0.25708,                 1.4107,                 1.8599,                 1.5694,             8.7203e-05,             8.7203e-05,             8.7203e-05
                     98,                0.78695,                0.69003,                 1.1751,                0.48058,                0.42074,                0.42325,                0.27129,                 1.3366,                   1.81,                 1.5129,             8.5632e-05,             8.5632e-05,             8.5632e-05
                     99,                0.77141,                0.67715,                 1.1648,                0.50353,                0.40604,                0.41678,                0.26687,                 1.3634,                 1.8467,                  1.546,             8.4062e-05,             8.4062e-05,             8.4062e-05
